question,correct_answer,generated_answer,exact_match,bleu_score,rouge_1,rouge_2,rouge_L,bert_P,bert_R,bert_F1
How many people are affected by Pendred syndrome ?,"The prevalence of Pendred syndrome is unknown. However, researchers estimate that it accounts for 7 to 8 percent of all hearing loss that is present from birth (congenital hearing loss).","Unfortunately, the text doesn't mention Pendred syndrome. It talks about Silver
syndrome (also known as complicated hereditary spastic paraplegia), Central
Hypoventilation Syndrome (CCHS), and Congenital Central Hypoventilation Syndrome
(the same condition).   If you need information on a different topic or
question, feel free to ask!",False,9.25732495472854e-232,0.1578947368421052,0.027027027027027,0.131578947368421,0.8179327249526978,0.8528894782066345,0.8350454568862915
What are the genetic changes related to Pendred syndrome ?,"Mutations in the SLC26A4 gene cause about half of all cases of Pendred syndrome. The SLC26A4 gene provides instructions for making a protein called pendrin. This protein transports negatively charged particles (ions), including chloride, iodide, and bicarbonate, into and out of cells. Although the function of pendrin is not fully understood, this protein is important for maintaining the proper levels of ions in the thyroid and the inner ear. Mutations in the SLC26A4 gene alter the structure or function of pendrin, which disrupts ion transport. An imbalance of particular ions disrupts the development and function of the thyroid gland and structures in the inner ear, which leads to the characteristic features of Pendred syndrome.  In people with Pendred syndrome who do not have mutations in the SLC26A4 gene, the cause of the condition is unknown. Researchers suspect that other genetic and environmental factors may influence the condition.","The primary genetic change associated with Pendred syndrome involves a mutation
in the SLC26A4 gene (also known as PDS), which encodes for a protein called
pendrin. This protein is responsible for the transport of iodide and chloride
ions in the thyroid gland, inner ear, and kidneys.  Mutations in the SLC26A4
gene can lead to Pendred syndrome, characterized by:  1. Sensorineural hearing
loss: A significant proportion of individuals with Pendred syndrome experience
some degree of hearing loss. 2. Thyroid abnormalities: Goiter (enlargement of
the thyroid gland) and hypothyroidism are common in individuals with Pendred
syndrome.  In addition to SLC26A4, other genes such as SNAI2 (also known as
Slug), BSND, and MYO7A have been associated with a subset of cases, but they are
less frequent than SLC26A4 mutations.",False,0.1251978208093843,0.4542124542124541,0.2140221402214022,0.315018315018315,0.8562458157539368,0.8746614456176758,0.8653557300567627
Is Pendred syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","According to various sources, including the National Institute on Deafness and
Other Communication Disorders (NIDCD) and the Online Mendelian Inheritance in
Man (OMIM), Pendred syndrome is an autosomal recessive genetic disorder. This
means that a person must inherit two copies of the mutated gene, one from each
parent, to develop the condition.  Therefore, the answer to your question is:
Yes, Pendred syndrome is inherited.",False,0.0758223293148425,0.3652173913043478,0.15929203539823,0.2434782608695652,0.8294534683227539,0.8904308080673218,0.8588612079620361
What are the treatments for Pendred syndrome ?,"These resources address the diagnosis or management of Pendred syndrome:  - Children's Hospital of Philadelphia, Center for Childhood Communication  - Gene Review: Gene Review: Pendred Syndrome/DFNB4  - Genetic Testing Registry: Pendred's syndrome  - MedlinePlus Encyclopedia: Goiter  - MedlinePlus Encyclopedia: Hearing Loss   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care","Pendred syndrome is a genetic disorder that causes hearing loss in children. The
treatments for Pendred syndrome focus on managing the hearing loss and related
complications. Some common treatments include:  1. Cochlear implantation:
Children with severe to profound sensorineural hearing loss may be candidates
for cochlear implantation, which can improve their ability to hear and
communicate. 2. Hearing aids: Children with moderate to severe sensorineural
hearing loss may benefit from using hearing aids to amplify sound. 3. Speech
therapy: Speech therapy is essential to help children with Pendred syndrome
develop speech and language skills despite their hearing loss. 4. Cochlear
implantation in combination with other treatments: Some centers are exploring
the use of cochlear implantation in combination with other treatments, such as
auditory brainstem implants or bone-anchored hearing aids.  It's worth noting
that there is no cure for Pendred syndrome, and these treatments aim to improve
communication skills and quality of life rather than restore normal hearing.",False,9.772805344224697e-232,0.2232142857142857,0.027027027027027,0.1160714285714285,0.8037475943565369,0.8124924898147583,0.8080964088439941
What is (are) cherubism ?,"Cherubism is a disorder characterized by abnormal bone tissue in the lower part of the face. Beginning in early childhood, both the lower jaw (the mandible) and the upper jaw (the maxilla) become enlarged as bone is replaced with painless, cyst-like growths. These growths give the cheeks a swollen, rounded appearance and often interfere with normal tooth development. In some people the condition is so mild that it may not be noticeable, while other cases are severe enough to cause problems with vision, breathing, speech, and swallowing. Enlargement of the jaw usually continues throughout childhood and stabilizes during puberty. The abnormal growths are gradually replaced with normal bone in early adulthood. As a result, many affected adults have a normal facial appearance.  Most people with cherubism have few, if any, signs and symptoms affecting other parts of the body. Rarely, however, this condition occurs as part of another genetic disorder. For example, cherubism can occur with Ramon syndrome, which also involves short stature, intellectual disability, and overgrowth of the gums (gingival fibrosis). Additionally, cherubism has been reported in rare cases of Noonan syndrome (a developmental disorder characterized by unusual facial characteristics, short stature, and heart defects) and fragile X syndrome (a condition primarily affecting males that causes learning disabilities and cognitive impairment).","Cherubism is a rare genetic disorder that affects the jawbone, causing it to
swell and become deformed. It typically appears in childhood or adolescence and
can cause facial asymmetry, malocclusion, and other dental problems.  The term
""cherubism"" was coined because some people with this condition are said to
resemble cherubs, which are small, winged angels depicted in art and literature.
Cherubism is caused by a mutation in the SH3BP2 gene, which encodes a protein
that plays a crucial role in the development of the jawbone. The disorder can be
inherited from either parent or occur spontaneously due to a genetic mutation.
Symptoms of cherubism include:  * Swelling of the lower jawbone (mandible) *
Deformity of the jawbone * Facial asymmetry * Malocclusion (misalignment of the
teeth) * Receding chin  Treatment for cherubism typically involves surgical
removal of the affected bone tissue to restore facial symmetry and improve
dental alignment. In some cases, orthodontic treatment may also be necessary to
correct malocclusion.  Cherubism is a relatively rare condition, affecting only
about 1 in 100,000 people worldwide. It can occur in both males and females,
although it seems to affect males more frequently.",False,1.2088905526513303e-78,0.445,0.0804020100502512,0.175,0.8389562368392944,0.8524088859558105,0.8456290364265442
How many people are affected by cherubism ?,The incidence of cherubism is unknown. At least 250 cases have been reported worldwide.,"The text does not mention the prevalence of cherubism, it only mentions
tyrosinemia and Richner-Hanhart syndrome, which is related to a different gene.
However, according to the National Institute of Health (NIH), cherubism affects
about 1 in 50,000 people worldwide.",False,1.0832677820940876e-231,0.1785714285714285,0.037037037037037,0.1785714285714285,0.8346896767616272,0.8981461524963379,0.8652560114860535
What are the genetic changes related to cherubism ?,"Mutations in the SH3BP2 gene have been identified in about 80 percent of people with cherubism. In most of the remaining cases, the genetic cause of the condition is unknown.  The SH3BP2 gene provides instructions for making a protein whose exact function is unclear. The protein plays a role in transmitting chemical signals within cells, particularly cells involved in the replacement of old bone tissue with new bone (bone remodeling) and certain immune system cells.  Mutations in the SH3BP2 gene lead to the production of an overly active version of this protein. The effects of SH3BP2 mutations are still under study, but researchers believe that the abnormal protein disrupts critical signaling pathways in cells associated with the maintenance of bone tissue and in some immune system cells. The overactive protein likely causes inflammation in the jaw bones and triggers the production of osteoclasts, which are cells that break down bone tissue during bone remodeling. An excess of these bone-eating cells contributes to the destruction of bone in the upper and lower jaws. A combination of bone loss and inflammation likely underlies the cyst-like growths characteristic of cherubism.","Cherubism is a genetic disorder that affects the bones of the jaw and face. It
is caused by mutations in the SH3BP2 gene, which codes for a protein involved in
signaling pathways that control cell growth and division.  In individuals with
cherubism, the mutation leads to an overgrowth of bone tissue, resulting in the
characteristic features of the condition, including:  * Swelling or bulging of
the cheekbones * Displacement of teeth due to expansion of the jawbone *
Enlargement of the lower portion of the face  The genetic changes associated
with cherubism are typically inherited in an autosomal dominant pattern, meaning
that a single copy of the mutated gene is sufficient to cause the condition.
It's worth noting that there may be other genes involved in the development of
cherubism, and researchers continue to study the underlying genetics of this
disorder.",False,1.3937671264688686e-78,0.5,0.1288343558282209,0.25,0.8562270998954773,0.8623753786087036,0.8592903017997742
Is cherubism inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.","Cherubism is an autosomal dominant genetic disorder, which means it can be
inherited from one's parents. However, the inheritance pattern is not a simple
Mendelian pattern. Instead, it often follows an autosomal dominant pattern with
reduced penetrance, meaning that some family members may inherit the mutated
gene but not display any symptoms.  The condition is usually caused by mutations
in the SH3BP2 gene and can also be influenced by other genetic or environmental
factors.  While cherubism can be inherited, there are cases where it develops
spontaneously without a clear family history. In these cases, the mutation is
often found in only one of the two copies of the SH3BP2 gene, suggesting that
other mechanisms may contribute to its development.  So, while inheritance plays
a role in cherubism, it's not the sole determining factor, and other factors can
also influence its occurrence.",False,9.111719718386607e-79,0.2485207100591716,0.0838323353293413,0.165680473372781,0.8199215531349182,0.8960543870925903,0.8562990427017212
What are the treatments for cherubism ?,These resources address the diagnosis or management of cherubism:  - Gene Review: Gene Review: Cherubism  - Genetic Testing Registry: Fibrous dysplasia of jaw   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"Cherubism is a genetic disorder characterized by the growth of non-cancerous
tumors in the jawbones. Treatment options for cherubism include surgery,
orthodontic treatment, and medication to reduce swelling. Some people may also
undergo genetic counseling if they have a family history of the condition.
Surgical options are available to remove or shrink the tumors, which can help
improve facial appearance and oral function. Orthodontic treatment can be used
to correct any dental misalignment caused by the growth of the tumors.
Medications such as corticosteroids may also be prescribed to reduce swelling in
the jaw area. In some cases, genetic counseling may be recommended for
individuals with a family history of cherubism to determine if they are at risk
of developing the condition.  In terms of more specific treatments mentioned in
the provided text, there is no direct information on treating cherubism, but
treatment options for basal cell carcinoma and squamous cell carcinoma of the
skin were discussed.",False,9.373063985178079e-232,0.1658536585365853,0.0197044334975369,0.0975609756097561,0.80697101354599,0.8172858953475952,0.8120957612991333
What is (are) Ellis-van Creveld syndrome ?,"Ellis-van Creveld syndrome is an inherited disorder of bone growth that results in very short stature (dwarfism). People with this condition have particularly short forearms and lower legs and a narrow chest with short ribs. Ellis-van Creveld syndrome is also characterized by the presence of extra fingers and toes (polydactyly), malformed fingernails and toenails, and dental abnormalities. More than half of affected individuals are born with a heart defect, which can cause serious or life-threatening health problems.  The features of Ellis-van Creveld syndrome overlap with those of another, milder condition called Weyers acrofacial dysostosis. Like Ellis-van Creveld syndrome, Weyers acrofacial dysostosis involves tooth and nail abnormalities, although affected individuals have less pronounced short stature and typically do not have heart defects. The two conditions are caused by mutations in the same genes.","Ellis-van Creveld syndrome is a rare genetic disorder characterized by short-
limbed dwarfism, polydactyly (extra fingers or toes), and other skeletal
abnormalities. It is also known as EVC or EVC2.  People with Ellis-van Creveld
syndrome may experience a range of symptoms, including:  * Short stature,
typically below 4 feet (1.2 meters) in adulthood * Polydactyly, which can affect
the hands and feet * Scoliosis (curvature of the spine) * Heart defects, such as
atrial septal defect or ventricular septal defect * Hearing loss * Cleft lip
and/or palate * Other skeletal abnormalities, such as clubfoot or hip
dislocation  Ellis-van Creveld syndrome is usually inherited in an autosomal
recessive pattern, meaning that a person must inherit two copies of the mutated
gene (one from each parent) to express the condition. If one parent has the
condition, they have a 25% chance with each pregnancy of having a child who also
inherits the mutated genes.  It's worth noting that Ellis-van Creveld syndrome
is relatively rare and affects about 1 in 100,000 people worldwide.",False,0.0518818007497481,0.4530744336569579,0.1368078175895765,0.2200647249190938,0.8258407115936279,0.8587470054626465,0.8419724702835083
